path,total_volume,input_unit,output_unit
3L9ZV4XS,276.228848,μm,cm³
591DW86I,273.530438,μm,cm³
5IM7QJF4,268.686852,μm,cm³
627ZFI97,248.658749,μm,cm³
66AL590N,303.369499,μm,cm³
6G8DD8S5,336.605625,μm,cm³
7D98EVAR,287.444584,μm,cm³
98EK6960,271.435732,μm,cm³
98G5I5CE,366.713252,μm,cm³
9HE9S8YK,339.661851,μm,cm³
A1VMI1BL,298.645164,μm,cm³
A8NCPLRI,538.863753,μm,cm³
B782Q8ID,381.843055,μm,cm³
BJRXL8KY,324.291417,μm,cm³
BRUN0G9V,253.900932,μm,cm³
C21IDK9N,299.266031,μm,cm³
CTW6MAJL,223.815734,μm,cm³
D16RF7C3,235.415912,μm,cm³
DA8Q81SZ,351.508524,μm,cm³
DHIPF4L7,263.418454,μm,cm³
DN98C3EZ,249.022665,μm,cm³
FC14,372.087393,μm,cm³
FC15,265.918585,μm,cm³
FC5,238.200504,μm,cm³
FC7,254.107099,μm,cm³
FFI8S7CY,283.411830,μm,cm³
FM7ID9EE,292.208485,μm,cm³
FQB3LGOY,283.024485,μm,cm³
H2JQVUUF,225.397733,μm,cm³
LENYCA0B,393.919911,μm,cm³
LLWYK03H,242.303428,μm,cm³
MHFn31,352.553936,μm,cm³
MHFw14,395.749346,μm,cm³
MHFw16,318.948461,μm,cm³
MHFw6,418.709519,μm,cm³
MHFw8,378.512461,μm,cm³
MQWINMXL,409.558950,μm,cm³
N4TRHUUP,436.691918,μm,cm³
OA15VRI2,267.173320,μm,cm³
OHV835G6,240.396268,μm,cm³
PGXLUL41,405.719736,μm,cm³
PJR4AHZO,285.371895,μm,cm³
QSBZPFZI,251.120268,μm,cm³
SKSXRBWF,245.244910,μm,cm³
TCNI6BDU,294.619300,μm,cm³
TNJAF3TK,360.708103,μm,cm³
XBTL2UYF,329.105344,μm,cm³
XWSQF3JX,309.661094,μm,cm³
Y5HYEDL4,314.221042,μm,cm³
YCBD3S9F,517.687568,μm,cm³
Z8FT2XBQ,344.266254,μm,cm³
