Geometric,Simulation,Spearman_rho,p_value,n,Significant
Vol_LV,delta_Vol_LV,0.9588955582232893,6.578543331696624e-28,50,***
N_Total,TAT_RV,0.8730372148859544,1.3954119656211058e-16,50,***
Vol_LA,TAT_LA,0.8693877551020407,2.639241689478412e-16,50,***
N_Total,TAT_V,0.8655462184873949,5.0582603366711e-16,50,***
Vol_RV,TAT_LV,0.811860744297719,8.466259378151109e-13,50,***
Vol_RV,TAT_V,0.7837214885954381,1.7051603333870238e-11,50,***
Vol_RV,delta_Vol_RV,0.7648019207683073,1.0107760077050168e-10,50,***
Vol_LV,TAT_RV,0.7300360144057623,1.7908546186700143e-09,50,***
Vol_RA,TAT_LA,0.7287875150060025,1.9693354155265022e-09,50,***
N_Total,delta_Vol_RV,0.6946938775510204,2.188919623313028e-08,50,***
Vol_LV,TAT_LV,0.6835534213685474,4.482565266880276e-08,50,***
Vol_RV,delta_Vol_LV,0.6668427370948379,1.2411484820139288e-07,50,***
Vol_LV,TAT_V,0.6579111644657862,2.0842587393672974e-07,50,***
Vol_RV,TAT_RV,0.6547418967587034,2.494885494096189e-07,50,***
N_Total,delta_Vol_LV,0.6425450180072029,4.889617924798664e-07,50,***
N_Total,TAT_LA,0.6279471788715486,1.0532548675226382e-06,50,***
N_Total,TAT_LV,0.6179591836734694,1.74119140509479e-06,50,***
Vol_RA,TAT_V,0.590876350540216,6.2574034676424605e-06,50,***
Vol_LA,TAT_RV,0.5477551020408163,3.836295099464129e-05,50,***
Vol_LA,TAT_V,0.5418007202881152,4.833830280518247e-05,50,***
Vol_RA,delta_Vol_RV,0.5175990396158463,0.00011841579607641139,50,***
Vol_RA,TAT_RV,0.5111644657863145,0.00014859527445094123,50,***
Vol_LA,delta_Vol_RV,0.4562304921968788,0.0008687110084807352,50,***
Vol_LV,delta_Vol_RV,0.4537334933973589,0.0009349266604966158,50,***
Vol_RV,TAT_LA,0.3883313325330132,0.005323919018790306,50,**
Vol_RA,TAT_LV,0.3002641056422569,0.034120542451500306,50,*
Vol_LV,TAT_LA,0.2901800720288115,0.04093372413883785,50,*
Vol_LA,TAT_LV,0.22189675870348136,0.12144432938914963,50,
Age,TAT_LA,0.20602016261230255,0.15117705788822336,50,
Age,TAT_RV,0.2057799338779132,0.15166482552770225,50,
Age,TAT_V,0.1725803227853057,0.23073053538592564,50,
Vol_RA,delta_Vol_LV,0.15860744297719087,0.27127148846661125,50,
Vol_LA,delta_Vol_LV,0.14506602641056424,0.31482145021167274,50,
Age,TAT_LV,-0.1428880512147826,0.32221944708174977,50,
Age,delta_Vol_RV,-0.01921829875114763,0.8946134157170873,50,
Age,delta_Vol_LV,0.017248423129154995,0.9053635314782811,50,
