mesh_id,n_elements,min,max,mean,stddev,n_inverted,pct_inverted,n_degenerate,pct_degenerate
3L9ZV4XS,2331143,0.000155816,0.92639,0.156626,0.101795,0,0.0000,2,0.0001
591DW86I,2298847,6.1544e-05,0.84492,0.153053,0.100143,0,0.0000,0,0.0000
5IM7QJF4,2257614,0.000124502,0.936522,0.152494,0.0999597,0,0.0000,1,0.0000
627ZFI97,2097395,0.000214741,0.873895,0.155958,0.101415,0,0.0000,0,0.0000
66AL590N,2547778,0.000222097,0.900613,0.152091,0.099942,0,0.0000,1,0.0000
6G8DD8S5,2820735,0.000264459,0.853823,0.151168,0.09996,0,0.0000,0,0.0000
7D98EVAR,2412863,0.000194339,0.895465,0.151863,0.0998741,0,0.0000,0,0.0000
98EK6960,2285619,0.000112727,0.949661,0.155123,0.101005,0,0.0000,5,0.0002
98G5I5CE,3084991,0.000101761,0.868704,0.152721,0.100172,0,0.0000,0,0.0000
9HE9S8YK,2854451,0.000268703,0.909686,0.153772,0.100371,0,0.0000,2,0.0001
A1VMI1BL,2517125,0.000321357,0.891255,0.154282,0.100707,0,0.0000,0,0.0000
A8NCPLRI,4504027,0.000117706,0.890406,0.152959,0.100067,0,0.0000,0,0.0000
B782Q8ID,3195789,3.95793e-05,0.978499,0.150609,0.0992165,0,0.0000,4,0.0001
BJRXL8KY,2743491,0.000193879,0.954551,0.157898,0.102438,0,0.0000,6,0.0002
BRUN0G9V,2138040,0.000388153,0.971773,0.154608,0.10058,0,0.0000,3,0.0001
C21IDK9N,2513680,9.14351e-05,0.917632,0.153322,0.100357,0,0.0000,1,0.0000
CTW6MAJL,1881076,0.0002857,0.874814,0.153685,0.100448,0,0.0000,0,0.0000
D16RF7C3,1982733,0.000243536,0.884371,0.153826,0.100622,0,0.0000,0,0.0000
DA8Q81SZ,2947973,0.000191985,0.939181,0.151376,0.0996727,0,0.0000,8,0.0003
DHIPF4L7,2214637,0.000299703,0.90462,0.154009,0.100495,0,0.0000,1,0.0000
DN98C3EZ,2092486,0.000256687,0.949175,0.152886,0.100168,0,0.0000,1,0.0000
FC14,3118515,7.2503e-05,0.954795,0.150596,0.0994163,0,0.0000,3,0.0001
FC15,2228678,0.000183314,0.955912,0.152297,0.0998186,0,0.0000,4,0.0002
FC5,1994316,0.000312401,0.923986,0.151972,0.0995736,0,0.0000,1,0.0001
FC7,2140015,9.35007e-05,0.917818,0.154225,0.100408,0,0.0000,2,0.0001
FFI8S7CY,2375776,0.000176167,0.84504,0.151121,0.0995762,0,0.0000,0,0.0000
FM7ID9EE,2457074,0.000411427,0.944516,0.153147,0.100313,0,0.0000,2,0.0001
FQB3LGOY,2379035,0.000139981,0.934568,0.153297,0.100443,0,0.0000,2,0.0001
H2JQVUUF,1900281,0.000451353,0.911849,0.155705,0.101216,0,0.0000,1,0.0001
LENYCA0B,3296159,0.000139974,0.936489,0.15099,0.10023,0,0.0000,9,0.0003
LLWYK03H,2039161,0.000187532,0.93878,0.155073,0.100958,0,0.0000,5,0.0002
MHFn31,2973432,0.000379079,0.854308,0.154217,0.100639,0,0.0000,0,0.0000
MHFw14,3326619,0.00023209,0.915163,0.150775,0.0992941,0,0.0000,1,0.0000
MHFw16,2673131,0.000433867,0.868773,0.153767,0.100412,0,0.0000,0,0.0000
MHFw6,3494406,4.72489e-05,0.834588,0.147572,0.0980717,0,0.0000,0,0.0000
MHFw8,3180263,0.000166536,0.891103,0.153976,0.100912,0,0.0000,0,0.0000
MQWINMXL,3428831,0.000231216,0.855825,0.148253,0.0986607,0,0.0000,0,0.0000
N4TRHUUP,3658837,9.89983e-05,0.96395,0.151142,0.0998076,0,0.0000,5,0.0001
OA15VRI2,2245506,0.000233365,0.849538,0.152643,0.100004,0,0.0000,0,0.0000
OHV835G6,2014567,0.000225951,0.878299,0.152083,0.100132,0,0.0000,0,0.0000
PGXLUL41,3405817,0.000237893,0.910104,0.153973,0.100852,0,0.0000,1,0.0000
PJR4AHZO,2381328,0.000372428,0.924723,0.150855,0.0992435,0,0.0000,1,0.0000
QSBZPFZI,2114974,0.000165331,0.875913,0.154664,0.100665,0,0.0000,0,0.0000
SKSXRBWF,2066745,0.000359369,0.911553,0.155232,0.100971,0,0.0000,1,0.0000
TCNI6BDU,2475101,0.000175571,0.895072,0.152958,0.100259,0,0.0000,0,0.0000
TNJAF3TK,3013648,0.000240454,0.895422,0.152272,0.0996272,0,0.0000,0,0.0000
XBTL2UYF,2771625,0.000245469,0.86868,0.152301,0.100174,0,0.0000,0,0.0000
XWSQF3JX,2614193,0.000149473,0.881902,0.155417,0.101299,0,0.0000,0,0.0000
Y5HYEDL4,2638070,6.21187e-05,0.908203,0.152625,0.100222,0,0.0000,1,0.0000
YCBD3S9F,4327053,5.34352e-05,0.883803,0.149849,0.0991104,0,0.0000,0,0.0000
Z8FT2XBQ,2887711,0.000205671,0.870755,0.152955,0.10044,0,0.0000,0,0.0000
